algorithm,split,runs,episode_count,no_threat_event_count,potential_event_count,severe_event_count,avg_return_mean,avg_return_ci95,median_return_mean,median_return_ci95,severe_miss_rate_mean,severe_miss_rate_ci95,false_warning_rate_mean,false_warning_rate_ci95,avg_alert_changes_mean,avg_alert_changes_ci95,avg_invalid_actions_mean,avg_invalid_actions_ci95,avg_warning_step_on_severe_mean,avg_warning_step_on_severe_ci95,avg_watch_step_on_potential_mean,avg_watch_step_on_potential_ci95
q_learning_pure,validation,3,64,35,23,6,-20.415624999999995,3.5305167369682615,23.766666666666666,3.709177372110664,0.49999999999999994,0.18860108793527774,0.02857142857142857,0.03233161507461904,0.7239583333333334,0.11772824315393104,0.0,0.0,5.0,0.0,4.438779956427015,0.3563252291394198
q_learning_pure,test,3,70,37,25,8,-33.675714285714285,1.6129336750158099,22.099999999999998,1.1760000000000006,0.625,0.0,0.036036036036036036,0.017657657657657658,0.8428571428571429,0.08554141297250904,0.0,0.0,5.0,0.0,3.8794117647058823,0.28675186899372695
q_learning_safe,validation,3,64,35,23,6,27.408593749999998,2.1232983032466985,31.491666666666664,1.9763333333333324,0.0,0.0,0.0,0.0,0.8697916666666666,0.02041666666666667,0.0,0.0,3.8333333333333335,0.0,4.579710144927536,0.028405797101449404
q_learning_safe,test,3,70,37,25,8,23.155476190476193,1.1828716827187054,27.558333333333337,1.832174876418128,0.0,0.0,0.0,0.0,1.0904761904761904,0.03733333333333335,0.0047619047619047615,0.009333333333333336,3.125,0.0,4.4,0.0
sarsa_pure,validation,3,64,35,23,6,-15.100520833333334,2.9503358905887316,24.2,4.312000000000001,0.5555555555555555,0.2177777777777778,0.02857142857142857,0.03233161507461904,0.7291666666666666,0.04449709338197771,0.0,0.0,5.0,0.0,4.606811145510836,0.4071065177799411
sarsa_pure,test,3,70,37,25,8,-39.480952380952374,15.835144268507449,21.5,0.0,0.6666666666666666,0.08166666666666668,0.05405405405405406,0.08091755281183287,0.8809523809523809,0.24746537355983989,0.0,0.0,5.0,0.0,4.107407407407408,0.2784188552970345
sarsa_safe,validation,3,64,35,23,6,27.43359375,1.961017179905063,31.925,1.1270000000000011,0.0,0.0,0.0,0.0,0.8854166666666666,0.027008711300451026,0.0,0.0,3.8333333333333335,0.0,4.565217391304348,0.04920028380920311
sarsa_safe,test,3,70,37,25,8,21.659761904761904,3.240813663949912,25.583333333333332,1.2086666666666666,0.0,0.0,0.0,0.0,1.1476190476190475,0.12240551912030395,0.0047619047619047615,0.009333333333333336,3.125,0.0,4.4,0.0
rule_based,validation,3,64,35,23,6,28.322656249999998,0.10331494029433104,32.5,0.0,0.0,0.0,0.0,0.0,0.84375,0.01768135199393229,0.0,0.0,3.8333333333333335,0.0,4.652173913043478,0.1301717153929485
rule_based,test,3,70,37,25,8,21.76,1.3618740617252405,25.274999999999995,1.0467360380407924,0.0,0.0,0.0,0.0,1.1476190476190478,0.024693678903269563,0.0,0.0,3.125,0.0,4.4,0.0
