time_index,danger_tier,current_alert,cancel_issued,recommended_action
0,0,monitor,False,escalate
0,0,monitor,True,escalate
0,0,info,False,hold
0,0,info,True,hold
0,0,watch,False,deescalate
0,0,watch,True,deescalate
0,0,advisory,False,deescalate
0,0,advisory,True,deescalate
0,0,warning,False,cancel
0,0,warning,True,cancel
1,0,monitor,False,hold
1,0,monitor,True,hold
1,0,info,False,deescalate
1,0,info,True,deescalate
1,0,watch,False,cancel
1,0,watch,True,cancel
1,0,advisory,False,cancel
1,0,advisory,True,cancel
1,0,warning,False,cancel
1,0,warning,True,cancel
2,0,monitor,False,hold
2,0,monitor,True,hold
2,0,info,False,deescalate
2,0,info,True,deescalate
2,0,watch,False,cancel
2,0,watch,True,cancel
2,0,advisory,False,cancel
2,0,advisory,True,cancel
2,0,warning,False,cancel
2,0,warning,True,cancel
3,0,monitor,False,hold
3,0,monitor,True,hold
3,0,info,False,deescalate
3,0,info,True,deescalate
3,0,watch,False,cancel
3,0,watch,True,cancel
3,0,advisory,False,cancel
3,0,advisory,True,cancel
3,0,warning,False,cancel
3,0,warning,True,cancel
4,0,monitor,False,hold
4,0,monitor,True,hold
4,0,info,False,deescalate
4,0,info,True,deescalate
4,0,watch,False,cancel
4,0,watch,True,cancel
4,0,advisory,False,cancel
4,0,advisory,True,cancel
4,0,warning,False,cancel
4,0,warning,True,cancel
5,0,monitor,False,hold
5,0,monitor,True,hold
5,0,info,False,deescalate
5,0,info,True,deescalate
5,0,watch,False,cancel
5,0,watch,True,cancel
5,0,advisory,False,cancel
5,0,advisory,True,cancel
5,0,warning,False,cancel
5,0,warning,True,cancel
0,1,monitor,False,escalate
0,1,monitor,True,escalate
0,1,info,False,hold
0,1,info,True,hold
0,1,watch,False,deescalate
0,1,watch,True,deescalate
0,1,advisory,False,deescalate
0,1,advisory,True,deescalate
0,1,warning,False,cancel
0,1,warning,True,cancel
1,1,monitor,False,issue_watch
1,1,monitor,True,issue_watch
1,1,info,False,escalate
1,1,info,True,escalate
1,1,watch,False,hold
1,1,watch,True,escalate
1,1,advisory,False,deescalate
1,1,advisory,True,deescalate
1,1,warning,False,deescalate
1,1,warning,True,deescalate
2,1,monitor,False,issue_watch
2,1,monitor,True,issue_watch
2,1,info,False,escalate
2,1,info,True,escalate
2,1,watch,False,hold
2,1,watch,True,escalate
2,1,advisory,False,deescalate
2,1,advisory,True,deescalate
2,1,warning,False,deescalate
2,1,warning,True,deescalate
3,1,monitor,False,issue_watch
3,1,monitor,True,issue_watch
3,1,info,False,escalate
3,1,info,True,escalate
3,1,watch,False,hold
3,1,watch,True,escalate
3,1,advisory,False,deescalate
3,1,advisory,True,deescalate
3,1,warning,False,deescalate
3,1,warning,True,deescalate
4,1,monitor,False,issue_watch
4,1,monitor,True,issue_watch
4,1,info,False,escalate
4,1,info,True,escalate
4,1,watch,False,hold
4,1,watch,True,escalate
4,1,advisory,False,deescalate
4,1,advisory,True,deescalate
4,1,warning,False,deescalate
4,1,warning,True,deescalate
5,1,monitor,False,issue_watch
5,1,monitor,True,issue_watch
5,1,info,False,escalate
5,1,info,True,escalate
5,1,watch,False,hold
5,1,watch,True,escalate
5,1,advisory,False,deescalate
5,1,advisory,True,deescalate
5,1,warning,False,deescalate
5,1,warning,True,deescalate
0,2,monitor,False,escalate
0,2,monitor,True,escalate
0,2,info,False,hold
0,2,info,True,hold
0,2,watch,False,deescalate
0,2,watch,True,deescalate
0,2,advisory,False,deescalate
0,2,advisory,True,deescalate
0,2,warning,False,cancel
0,2,warning,True,cancel
1,2,monitor,False,issue_watch
1,2,monitor,True,issue_watch
1,2,info,False,escalate
1,2,info,True,escalate
1,2,watch,False,hold
1,2,watch,True,escalate
1,2,advisory,False,deescalate
1,2,advisory,True,deescalate
1,2,warning,False,deescalate
1,2,warning,True,deescalate
2,2,monitor,False,issue_watch
2,2,monitor,True,issue_watch
2,2,info,False,escalate
2,2,info,True,escalate
2,2,watch,False,hold
2,2,watch,True,escalate
2,2,advisory,False,deescalate
2,2,advisory,True,deescalate
2,2,warning,False,deescalate
2,2,warning,True,deescalate
3,2,monitor,False,issue_warning
3,2,monitor,True,issue_warning
3,2,info,False,issue_warning
3,2,info,True,issue_warning
3,2,watch,False,issue_warning
3,2,watch,True,issue_warning
3,2,advisory,False,escalate
3,2,advisory,True,escalate
3,2,warning,False,hold
3,2,warning,True,deescalate
4,2,monitor,False,issue_warning
4,2,monitor,True,issue_warning
4,2,info,False,issue_warning
4,2,info,True,issue_warning
4,2,watch,False,issue_warning
4,2,watch,True,issue_warning
4,2,advisory,False,escalate
4,2,advisory,True,escalate
4,2,warning,False,hold
4,2,warning,True,deescalate
5,2,monitor,False,issue_warning
5,2,monitor,True,issue_warning
5,2,info,False,issue_warning
5,2,info,True,issue_warning
5,2,watch,False,issue_warning
5,2,watch,True,issue_warning
5,2,advisory,False,escalate
5,2,advisory,True,escalate
5,2,warning,False,hold
5,2,warning,True,hold
